,,,,,"يملعلا لهؤلماو ةربخلا تاونس قفو :نييعتلا
يملعلا لهؤلما قفو : ةيفيظولا تايقرتلا",,
ةجردلا,يملعلا لهؤلما,هاروتكد,ريتسجام,سويرولاكب,"مولبدلا ةداهش
تاونس ثلاث
نيتنس وأ","ةنس مولبد
ةدحاو
ةيوناثلاو
ةماعلا","ةيوناثلا نود
ةماعلا"
ىلولأا,"وأ )ريتسجام وأ هاروتكد(
.هلداعي ام وأ سويرولاكب",)12(,)18(,)18(,"الترقيةالوظيفية
لا
يتم
التعيين ولا","ولا
لا الترقيةالوظيفية
يتم
التعيين","ولا
لا الترقيةالوظيفية
يتم
التعيين"
ةيناثلا,"وأ )ريتسجام وأ هاروتكد(
.هلداعي ام وأ سويرولاكب",)6(,)12(,)12(,,,
ةثلاثلا,"وأ )ريتسجام وأ هاروتكد(
.هلداعي ام وأ سويرولاكب",-,)6(,)6(,"ةبسنلاب )18(
ةداهش ىلع نيلصاحلل
نيتنس مولبدلا
ةبسنلاب )12(
ةداهش ىلع نيلصاحلل
تاونس ثلاث مولبدلا",,
,,,,يملعلا لهؤلما بسح نييعتلا,,,
ةعبارلا,"لاجم ريغ يف هاروتكد(
لصاحلا وأ )صصختلا
ام وأ سويرولاكبلا وأ ريتسجام
.ةربخ نودبو هلداعي",,,"التعيين
على
الدرجات
طبقا
ً للمؤهل
بدون
سنوات
خبرة","ةبسنلاب )12(
ةداهش ىلع نيلصاحلل
نيتنس مولبدلا
نيلصاحلل ةبسنلاب )6(
مولبدلا ةداهش ىلع
تاونس ثلاث",)18(,
ةسماخلا,"وأ مولبدلا ىلع لصاحلا
هتدم غلبت يذلاو هلداعيام
دعب تاونس ثلاث ةيساردلا
.رشع يناثلا فصلا",,,,"نيلصاحلل ةبسنلاب )6(
مولبدلا ةداهش ىلع
نيتنس",)12(,)18(
ةسداسلا,"وأ مولبدلا ىلع لصاحلا
هتدم غلبت يذلاو هلداعي ام
فصلا دعب نيتنس ةيساردلا
.رشع يناثلا",,,,-,)6(,)12(
ةعباسلا,"وأ مولبدلا ىلع لصاحلا
هتدم غلبت يذلاو هلداعي ام
دعب ةدحاو ةنس ةيساردلا
ةلمحو رشع يناثلا فصلا
ةيوناثلا( رشع يناثلا فصلا
.اهلداعيام وأ )ةماعلا",,,,-,-,)6(
ةنماثلا,"نم رشع يداحلا فصلا
ةيوناثلا ةلحرلما",,,,-,-,-
