مقرلا,)ب/١( مقر قحلملا,ةحفصلا مقر
١,نطاوم فيظوت نأشب )1( مقر دقع جذومن,36
٢,نطاوم عم ةمئاق ةيفيظو ةقلاع ميظنت نأشب )2( مقر دقع جذومن,39
3,نينطاوملا ريغل )3( مقر )أ( يلحم دقع جذومن,42
4,نينطاوملا ريغل )4( مقر )ب( يلحم دقع جذومن,45
٥,)نيسدنهم( فيظوت نأشب )5( مقر دقع جذومن,48
٦,نطاوم سدنهم عم ةمئاق ةيفيظو ةقلاع ميظنت نأشب )6( مقر دقع جذومن,51
7,)نينطاوملا نينذؤملاو ةمئلأا( فيظوت نأشب )7( مقر دقع جذومن,45
8,"نذؤم وأ مامأ عم ةمئاق ةيفيظو ةقلاع ميظنت نأشب )8( مقر دقع جذومن
نطاوم",57
9,)نينطاوملا ريغ نينذؤملاو ةمئلأا( فيظوت نأشب )9( مقر دقع جذومن,60
١٠,"بطلا يينفو ةلدايصلاو ءابطلأا( فيظوت نأشب )10( مقر دقع جذومن
)نينطاوملا",63
١١,نطاوم عم ةمئاق ةيفيظو ةقلاع ميظنت نأشب )11( مقر دقع جذومن,66
١٢,"ريغ بطلا يينفو ةلدايصلاو ءابطلأا( فيظوت نأشب )12( مقر دقع جذومن
)نينطاوملا",69
١3,نينطاوم ) أ ( صاخلا دقعلا ماظن نأشب )13( مقر دقع جذومن,72
١4,نينطاوم ريغ ) ب ( صاخلا دقعلا ماظن نأشب )14( مقر دقع جذومن,74
١٥,"ةأفاكملا ماظنب نيلماعلا نينطاوملا ريغ مادختسا نأشب )15( مقر دقعلا جذومن
ةيرهشلا",76
١٦,) أ ( تقؤم دقعب نييعتلا نأشب )16( مقر دقعلا جذومن,78
١7,)ب( تقؤم دقعب نييعتلا نأشب )17( مقر دقعلا جذومن,80
١8,نيدعاقتملاب صاخ )ب( تقؤم دقعب نييعتلا نأشب )18( مقر دقعلا جذومن,82
