0,1,2
ﺮﻘﻣ ﻼﺼﻔﺣﺓ,ﻼﻤﻠﺤﻗ ﺮﻘﻣ )١/ﺝ(,ﻻﺮﻘﻣ
84,ﻦﻣﻭﺬﺟ ﺄﻗﺭﺍﺭ ﺮﻘﻣ )1( ﺐﺷﺄﻧ ﻢﺑﺎﺷﺭﺓ ﻼﻌﻤﻟ,١
85,ﻦﻣﻭﺬﺟ ﺄﻗﺭﺍﺭ ﺮﻘﻣ )2( ﺐﺷﺄﻧ ﻖﺑﻮﻟ ﻻﻮﻈﻴﻓﺓ,٢
86,ﻦﻣﻭﺬﺟ ﺄﻗﺭﺍﺭ ﺮﻘﻣ )3( ﺐﺷﺄﻧ ﻉﺪﻣ ﺖﻗﺎﻀﻳ ﻢﻋﺎﺷ ﺖﻗﺎﻋﺩ,3
87,ﺄﻗﺭﺍﺭ ﺮﻘﻣ )4( ﺐﺷﺄﻧ ﻼﺣﻻﺓ ﺍﻼﺠﺘﻣﺎﻌﻳﺓ,4
88,ﻦﻣﻭﺬﺟ ﺮﻘﻣ )5( ﺐﺷﺄﻧ ﺖﻌﻫﺩ ﻼﺗﺄﻤﻴﻧ ﻼﺼﺤﻳ,٥
90,ﻦﻣﻭﺬﺟ ﺮﻘﻣ )6( ﺐﺷﺄﻧ ﺎﺴﺘﻣﺍﺭﺓ ﺏﺩﺀ ﺥﺪﻣﺓ ﻼﻣﺆﻤﻧ ﻊﻠﻴﻫ,٦
91,ﻦﻣﻭﺬﺟ ﺮﻘﻣ )7( ﺐﺷﺄﻧ ﺮﺳﻻﺓ ﻼﺘﻌﻴﻴﻧ / ﺮﺳﻻﺓ ﻼﺗﺮﺸﻴﺣ ﻞﻠﺘﻌﻴﻴﻧ,7
92,ﻦﻣﻭﺬﺟ ﺮﻘﻣ )8( ﺐﺷﺄﻧ ﺖﻗﺮﻳﺭ ﻼﻜﻓﺍﺀﺓ ﻼﺸﻫﺮﻳ ﻼﺧﺎﺻ ﺐﻔﺗﺭﺓ ﺍﻼﺨﺘﺑﺍﺭ,8
94,ﻦﻣﻭﺬﺟ ﺮﻘﻣ )8/ﺃ( ﺐﺷﺄﻧ ﺖﻗﺮﻳﺭ ﻼﻜﻓﺍﺀﺓ ﻼﺸﻫﺮﻳ ﻼﺧﺎﺻ ﺐﻔﺗﺭﺓ ﺍﻼﺨﺘﺑﺍﺭ,9
96,ﻦﻣﻭﺬﺟ ﻼﺘﻌﻫﺩ ﺮﻘﻣ )9( ﺐﺷﺄﻧ ﻻﺩﻭﺭﺎﺗ ﻼﺗﺩﺮﻴﺒﻳﺓ ﺩﺎﺨﻟ ﻻﺩﻮﻟﺓ ﺃﻭ ﺥﺍﺮﺠﻫﺍ,١٠
97,ﻦﻣﻭﺬﺟ ﺎﺴﺘﻣﺍﺭﺓ ﺮﻘﻣ )10( ﺐﺷﺄﻧ ﻂﻠﺑ ﺈﺟﺍﺯﺓ,١١
98,ﻦﻣﻭﺬﺟ ﺮﻘﻣ )11( ﺐﺷﺄﻧ ﻂﻠﺑ ﺈﺟﺍﺯﺓ ﻡﺭﺎﻔﻗ ﻡﺮﻴﺿ ﺩﺎﺨﻟ ﻻﺩﻮﻟﺓ,١٢
99,"ﻦﻣﻭﺬﺟ ﻼﺘﻌﻫﺩ ﺮﻘﻣ )12-ﺃ( ﺐﺷﺄﻧ ﺈﺟﺍﺯﺓ ﻼﺘﻓﺮﻏ  ﻼﻜﻠﻳ ﻞﻤﺗﺎﺒﻋﺓ ﻻﺩﺭﺎﺳﺎﺗ
ﻼﻌﻠﻳﺍ ﺥﺍﺮﺟ ﻻﺩﻮﻟﺓ",١3
100,"ﻦﻣﻭﺬﺟ ﻼﺘﻌﻫﺩ ﺮﻘﻣ )12-ﺏ( ﺐﺷﺄﻧ ﺈﺟﺍﺯﺓ ﻼﺘﻓﺮﻏ  ﻼﺟﺰﺌﻳ  ﻞﻤﺗﺎﺒﻋﺓ ﻻﺩﺭﺎﺳﺎﺗ
ﻼﻌﻠﻳﺍ ﺥﺍﺮﺟ ﻻﺩﻮﻟﺓ",١4
101,"ﻦﻣﻭﺬﺟ ﺎﺴﺘﻣﺍﺭﺓ ﺮﻘﻣ )13( ﺐﺷﺄﻧ ﻼﺘﻈﻠﻣ ﺃﻭ ﻼﺸﻛﻮﯨ ﻞﻠﺠﻧﺓ ﻼﺘﻈﻠﻣﺎﺗ ﻒﻳ
ﻼﺠﻫﺓ ﻼﺤﻛﻮﻤﻳﺓ",١٥
102,"ﻦﻣﻭﺬﺟ ﺎﺴﺘﻣﺍﺭﺓ ﺮﻘﻣ )14( ﺐﺷﺄﻧ ﻼﺘﻈﻠﻣ ﺃﻭ ﻼﺸﻛﻮﯨ ﻞﻠﺠﻧﺓ ﻼﻌﻠﻳﺍ ﻞﻠﻣﻭﺍﺭﺩ
ﻼﺒﺷﺮﻳﺓ",١٦
103,ﻦﻣﻭﺬﺟ ﺮﻘﻣ )15( ﺐﺷﺄﻧ ﻢﻗﺎﺒﻟﺓ ﻦﻫﺎﻳﺓ ﻼﺧﺪﻣﺓ,١7
106,ﻦﻣﻭﺬﺟ ﺮﻘﻣ )16( ﺐﺷﺄﻧ ﺎﺴﺘﻣﺍﺭﺓ ﺈﻨﺘﻫﺍﺀ ﺥﺪﻣﺓ ﻼﻣﺆﻤﻧ ﻊﻠﻴﻫ,١8
107,ﻦﻣﻭﺬﺟ  ﺮﻘﻣ )17( ﺐﺷﺄﻧ ﻼﻴﻤﻴﻧ ﻼﻗﺎﻧﻮﻨﻳﺓ ﻞﻣﻮﻈﻔﻳ ﻼﺤﻛﻮﻣﺓ,١9
